time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
2804	299.469122	0	-419.192647	-419.192647	7603.11388	325547572.0	9084.84023	46356.6723	31928.9068
2806	301.496022	0	-448.569409	-448.569409	15657.9028	4.35433563e+19	110888874.0	19212336.6	2858.18829
2808	302.185655	0	-456.354478	80506.5492	29442.7208	27645.0881	-222.274476	816713.529	23490.7605
2810	298.480323	0	-474.685395	169657.507	2321.62778	-611.605393	136313597.0	-201.00971	-263.550501
2812	298.464581	0	-449.460675	-449.460675	2646.32466	51103.9663	74472.3919	2579.0007	20461.0992
2814	299.915592	0	-493.171582	-254.600975	13023.1466	14852.761	2657634320.0	9103.89872	-612.921582
2816	301.717068	0	-491.428416	-491.428416	125398.528	33085990500.0	6641.78875	8472.40709	270721.619
2818	297.22993	0	-459.734309	2968390.96	1149.79017	21432106.3	1365867.22	15586.5693	-579.484309
2820	300.705197	0	-488.414994	-312.226757	38339607.4	1635.29871	49279522.4	71.7803014	-608.164994
2822	296.39899	0	-476.102438	139061.48	2643.25518	4348685.0	3439.79308	9132.23808	-595.852438
2824	299.93551	0	-464.154756	257.126596	419.480247	1822422.23	9083.09233	25725.8158	-583.904756
2826	298.217417	0	-386.275686	12316.1336	582539642.0	87015.3341	-15.4897863	-142.212106	-506.025686
2828	295.783027	0	-435.003784	1242.76565	1367.72764	86783.9793	-200.923782	10941.5268	2287.49282
2830	297.604798	0	-459.61923	19794.6995	5388.10963	-144.501575	7145.0979	-49.5221731	-579.36923
2832	297.536286	0	-490.370065	3846.12137	555.420542	-627.290063	2526181.73	11.2486293	-311.214161
2834	304.191218	0	-437.228393	-437.228393	-37.2421291	25921.0093	71028.5692	-57.9282847	13.8291847
2836	295.280127	0	-468.107573	-468.107573	39080.3337	65606113.3	42780.6561	3892.8655	3183.53628
2838	295.794633	0	-446.416898	491.232562	46225.4831	6538.58597	4617.78548	1259.83458	-566.166898
2840	291.518064	0	-460.412068	12718.9572	13925.3091	398.921507	2630.28069	-112.034886	-580.162068
2842	299.402248	0	-478.081751	-478.081751	31748.442	787253.847	29730370.3	101.651235	143.691963
2844	291.38839	0	-494.974694	104759.947	154789.253	-631.894693	40936.211	1410.03508	51782.8994
2846	299.892784	0	-431.886467	-431.886467	676.537153	561745.757	3562529.91	-128.179371	234884466.0
2848	295.289792	0	-423.441481	-113.62853	-301.491484	460146.014	2493479.07	1740.88959	23093.5564
2850	296.336545	0	-466.513304	-260.619872	3409102.56	17827.979	2733.40432	143.44078	-586.263304
2852	298.517113	0	-482.88767	1691.79044	1408924.38	2417412.96	46713.25	-339.927663	2880.03082
2854	297.032522	0	-420.924122	-420.924122	144587.271	4379175970.0	27435.556	111.194769	32.9329248
2856	290.990959	0	-475.865923	1201194.94	531.038549	222826591.0	23578.6456	-332.905916	524.496869
2858	299.588469	0	-452.365164	142247.965	-330.415167	2676739310.0	129394.666	463.420736	-41.731365
2860	300.769766	0	-441.287239	380.234193	-319.337242	948202.642	2616.45356	3124.27313	8458.8171
2862	300.17061	0	-469.020629	-303.422392	-347.070632	3423824420.0	36807.8374	178.343628	8.6620284
2864	301.253623	0	-446.214217	791656.239	236.363774	58582993.0	-212.134215	-159.469211	-16.1872705
2866	297.110834	0	-488.10939	11921.9905	525759.073	35571.1319	29062.4047	73659718.4	-607.85939
2868	298.328925	0	-440.44349	1030.31501	1685.17302	-577.363488	1562.03992	-52.6985101	318303.195
2870	299.947444	0	-429.072274	-429.072274	7847.5138	3234956.04	170721.967	604.661991	32799.8787
2872	297.663528	0	-485.503792	174376.523	-363.553795	1453761.98	1063826.73	-32.097797	4680.72787
2874	294.702135	0	-480.605971	7569.3074	16131.2961	18924.1293	8058292.55	4941.72623	-600.355971
2876	297.682168	0	-442.520354	-201.107507	-320.570357	15555281300000.0	32908.4194	1019.2646	2628.79137
2878	297.896559	0	-425.445558	-425.445558	1309.53476	1446328200000.0	355127.656	445.490947	553.452084
2880	299.630915	0	-460.806621	50039538.2	-338.856625	4905935130.0	205243.77	84421.2685	224576.466
2882	299.31218	0	-441.160437	-441.160437	22704.9926	10315.7679	110691873.0	73435040.2	108992.12
2884	294.80773	0	-430.459269	-53.3754981	-308.509272	3157721.24	26441.687	3906.56575	104500.662
2886	295.797833	0	-477.600768	2841.7418	461.858021	135122663.0	770133.14	-334.640761	3746081430.0
2888	301.245226	0	-454.93328	2138.33191	-138.721157	-591.853278	667002.604	-192.050411	-247.655977
2890	297.680061	0	-453.866208	-453.866208	54.8660365	265767.601	65871.7273	-131.786355	49576565.6
2892	295.311256	0	-394.10248	-176.734462	-272.152483	5225966590000.0	417.842531	-179.675393	20640.4982
2894	305.360644	0	-486.142413	7053.30537	13149.2399	9511.25021	77556.2904	-343.182406	18365.9361
2896	298.602394	0	-492.566685	121654.419	1789067760.0	4208680140.0	312539222.0	19877.2768	-612.316685
2898	301.161343	0	-436.518383	5728.13499	-7.20141111	181.642228	8492327.46	-143.110207	-556.268383
2900	295.414064	0	-469.773645	32.6527645	-347.823648	17462.6035	174809852.0	-9.78649586	1038.7837
2902	299.221938	0	-440.637893	9470621080.0	-318.687896	345133.051	781998.673	9427.3206	203466.247
2904	294.260543	0	-437.728776	-437.728776	3417.77104	1797039.6	162614.263	-197.334089	11703552.6
2906	302.129186	0	-463.338256	4148.35872	26.4343368	-600.258254	16840.3406	158.811247	-281.376576
2908	296.557156	0	-406.141071	279.809429	892.915922	375.781137	95.353649	158.536127	-525.891071
2910	294.008032	0	-380.801833	-380.801833	4313.17628	6733458.69	39191.2938	-105.409295	1266.32472
2912	298.012001	0	-428.817241	249459627.0	42310.0095	487071.991	192928.471	3195.34104	-548.567241
2914	303.759862	0	-393.024933	-393.024933	7460.42653	298769705.0	3842.59036	191.004183	9569.23465
2916	295.271068	0	-438.824744	-438.824744	19084635.2	1798648420.0	3575410.68	76916.9626	214015.965
2918	294.354264	0	-426.587516	-426.587516	562.443591	177821.178	1537.2876	-98.9238886	-166.989732
